2009	2032954
2010	2154848
2011	2284050
2012	2421000
2013	2544886
2014	2575111
2015	2512000
2016	2405217
2017	2207946
2018	1901663
2019	1626833
2020	1383053
2021	1269211
2022	993645
2023	724300
2024	588861
2025	474888
2026	379911
2027	301516
2028	237414
2029	185480
2030	143783
2031	110602
2032	84429
2033	63962
2034	48091
2035	35889
2036	26585
2037	19547
2038	14268
2039	10339
2040	7438
2041	5313
2042	3768
2043	2654
2044	1856
2045	1289
2046	889
2047	609
2048	414
2049	280
2050	188
2051	125
2052	83
2053	55
2054	36
2055	23
2056	15
2057	10
2058	6
2059	4
2060	2
2061	2
2062	1
2063	1
2064	0
2065	0
2066	0
2067	0
2068	0
2069	0
2070	0
2071	0
2072	0
2073	0
2074	0
2075	0
2076	0
2077	0
2078	0
2079	0
2080	0
